대학,가게 이름,메뉴,주소,메뉴 평점,인터넷 평점,내 평점,총 내 평점
홍대 맛집,히츠지야,일식당,서울 마포구 독막로3길 21 1층 히츠지야,-1,4.82,0.0,4.82
홍대 맛집,루나틱커피,돈가스,서울 마포구 동교로 126 1층 102호,-1,4.81,0.0,4.81
홍대 맛집,풀뜯는돼지,"육류,고기요리",서울 마포구 동교로32길 7 1층 풀뜯는돼지,-1,4.81,0.0,4.81
홍대 맛집,서교주담,요리주점,서울 마포구 어울마당로5길 46 1층 서교주담,-1,4.74,0.0,4.74
홍대 맛집,후라토식당 상수직영점,일식당,서울 마포구 독막로15길 3-14,-1,4.71,0.0,4.71
홍대 맛집,더담,"멕시코,남미음식",서울 마포구 와우산로21길 20-11 2층,-1,4.7,0.0,4.7
홍대 맛집,돈주는남자본점,돼지고기구이,서울 마포구 잔다리로6길 34-9,-1,4.62,0.0,4.62
홍대 맛집,이치류 홍대본점,양갈비,서울 마포구 잔다리로3안길 44,-1,4.56,0.0,4.56
홍대 맛집,카쿠시타,일식당,서울 마포구 동교로38길 33-15,-1,4.54,0.0,4.54
홍대 맛집,동교해물,국밥,서울 마포구 양화로7길 44-10,-1,4.52,0.0,4.52
홍대 맛집,미도인 홍대,일식당,서울 마포구 독막로3길 21 1층 히츠지야,-1,4.51,0.0,4.51
홍대 맛집,홍대씨부엉,이자카야,서울 마포구 양화로8길 32-5 1층,-1,4.51,0.0,4.51
홍대 맛집,샌드커피 논탄토 연남,카페,서울 마포구 동교로 212-16,-1,4.5,0.0,4.5
홍대 맛집,카와카츠,돈가스,서울 마포구 동교로 126 1층 102호,-1,4.47,0.0,4.47
홍대 맛집,산울림1992,요리주점,서울 마포구 서강로9길 60 산울림1992,-1,4.47,0.0,4.47
홍대 맛집,신미경홍대닭갈비,닭갈비,서울 마포구 와우산로21길 31-10 1층,-1,4.47,0.0,4.47
홍대 맛집,우와,일식당,서울 마포구 와우산로21길 21-16 2층,-1,4.45,0.0,4.45
홍대 맛집,츄리츄리,이탈리아음식,서울 마포구 독막로15길 3-13 2층,-1,4.44,0.0,4.44
홍대 맛집,옥동식,국밥,서울 마포구 양화로7길 44-10,-1,4.44,0.0,4.44
