가게 이름,메뉴,평점,영업 상태,주소
장미술상 건대점,요리주점,4.96,영업 전,서울 광진구 아차산로31길 3-6 1~2층 장미술상
오마카세 오사이초밥 건대본점,일식당,4.79,영업 중,서울 광진구 군자로 14 1층
심야식당 후타리,이자카야,4.79,영업 전,서울 광진구 동일로22길 32
반티엔야오 카오위 건대점,중식당,4.75,영업 중,서울 광진구 동일로20길 106 2층
냥토피아 카페앤샵,"카페,디저트",4.74,오늘 휴무,서울 광진구 능동로 147-1 3층 냥토피아 카페앤샵
해란양꼬치,중식당,4.73,영업 중,서울 광진구 동일로18길 73
페스타마레 건대본점,"스파게티,파스타전문",4.72,영업 중,서울 광진구 동일로20길 114 2층 페스타마레
도도곱창 건대본점,"곱창,막창,양",4.72,영업 전,서울 광진구 아차산로34길 18
마초쉐프 건대점,이탈리아음식,4.69,영업 중,서울 광진구 능동로 125 2층 마초쉐프 건대점
꾸아 건대점,베트남음식,4.68,영업 중,서울 광진구 군자로3길 9
도단집,돼지고기구이,4.66,영업 전,서울 광진구 동일로24길 60
하이디라오 건대지점,중식당,4.66,영업 중,"서울 광진구 능동로 110 스타시티 영존 A동 2F, 2,7호선 건대입구역 3번출구에서 나오시면 바로 앞에 있는건물입니다.(50m)주차장은 ""스타시티영존""주차장에 주차하시면"
모츠커피,카페,4.65,영업 중,서울 광진구 군자로3길 14 1층
고기굽는놈,"육류,고기요리",4.64,영업 전,서울 광진구 아차산로31길 8 고기굽는놈
뽕사부,중식당,4.61,영업 중,서울 광진구 아차산로 205
카페 오알피하우스,"카페,디저트",4.6,영업 중,서울 광진구 능동로13길 44 2층
카페 그자체 베이커리,베이커리,4.58,영업 중,서울 광진구 능동로13길 65 2층
경성양육관,양꼬치,4.58,영업 중,서울 광진구 동일로18길 52
라구뜨,뷔페,4.56,영업 중,서울 광진구 능동로 90 더클래식500 B동 3층
비에이치테이블,브런치,4.55,오늘 휴무,서울 광진구 아차산로45길 16 1층
화기애애 건대본점,"육류,고기요리",4.55,영업 전,서울 광진구 아차산로31길 16
육성회비,요리주점,4.54,영업 전,서울 광진구 동일로24길 19 1층
코후쿠,이자카야,4.54,오늘 휴무,서울 광진구 아차산로29길 24 2층 코후쿠이자카야
송화산시도삭면,"딤섬,중식만두",4.53,영업 중,서울 광진구 뚝섬로27길 48
오코노미야키식당하나,일식당,4.52,영업 전,서울 광진구 능동로13길 111
일레븐 라운지,바(BAR),4.51,오늘 휴무,서울 광진구 동일로 172 호텔 더 디자이너스 프리미어 건대점 20층 21층
새로이,요리주점,4.49,영업 중,서울 광진구 능동로17길 5 / 1층 새로이
릴리베이커리,베이커리,4.49,영업 중,서울 광진구 능동로13길 21 1층 릴리베이커리
daughter,브런치,4.48,영업 중,서울 광진구 아차산로31길 40
송화양꼬치,양꼬치,4.48,영업 중,서울 광진구 동일로18길 70
로니로티 건대점,이탈리아음식,4.47,영업 중,서울 광진구 아차산로 225 단산화빌딩
매운향솥 마라탕 마라샹궈,중식당,4.47,영업 중,서울 광진구 동일로18길 61 매운향솥
스테이크어스 건대점,"스테이크,립",4.47,영업 중,서울 광진구 아차산로 229 한림타워 2층
포비,일식당,4.44,영업 전,서울 광진구 동일로26길 57 1층
카페 아르무아,"카페,디저트",4.44,영업 중,서울 광진구 동일로22길 117-27
고향양꼬치,양꼬치,4.38,영업 중,서울 광진구 동일로18길 101
함흥본가면옥,냉면,4.37,영업 중,서울 광진구 광나루로 456
명봉반점,중식당,4.37,영업 중,서울 광진구 뚝섬로31길 59
아찌떡볶이,떡볶이,4.33,영업 중,서울 광진구 아차산로29길 53
감성타코 건대점,"멕시코,남미음식",4.32,영업 중,서울 광진구 능동로13길 39 2층 감성타코
민벅 건대본점,양식,4.31,영업 중,서울 광진구 능동로13길 39 한아름쇼핑센타
서북면옥,냉면,4.26,영업 중,서울 광진구 자양로 199-1 서북면옥
온달집 건대점,"육류,고기요리",4.18,영업 전,서울 광진구 아차산로33길 46
스시오 건대점,"일식,초밥뷔페",4.17,영업 중,서울 광진구 능동로 141
백소정 건대본점,일식당,0.0,영업 중,서울 광진구 아차산로 241 2층 201호
호야초밥참치 본점,"초밥,롤",0.0,오늘 휴무,서울 광진구 능동로13길 39 1층
프레퍼스 다이어트 푸드 건대점,"다이어트,샐러드",0.0,영업 중,서울 광진구 아차산로 229 1층 104호
애정촌,포장마차,0.0,영업 전,서울 광진구 동일로22길 92-2
범맥주 건대점,요리주점,0.0,영업 전,서울 광진구 아차산로29길 8 2층~4층
마당족발,"족발,보쌈",0.0,영업 중,서울 광진구 능동로 173
