가게 이름,메뉴,평점,영업 상태,주소
연리지,요리주점,4.89,오늘 휴무,서울 성북구 동소문로20다길 11 2층 연리지
우정초밥,"초밥,롤",4.73,오늘 휴무,서울 성북구 종암로3길 31 1층
베나레스 본점,인도음식,4.72,영업 중,서울 성북구 고려대로24길 27 2층 베나레스
문화식당,요리주점,4.71,영업 중,서울 성북구 보문로30나길 37
수아당,김밥,4.68,영업 중,서울 성북구 동소문로20가길 33
오레노카츠 신설동점,돈가스,4.66,영업 중,서울 동대문구 왕산로3길 10
카페 나의우주,"카페,디저트",4.66,오늘 휴무,서울 성북구 동소문로22길 57-17
유즈리스어덜트,"카페,디저트",4.63,영업 중,서울 성북구 보문로18길 25 1층
liike coffee,카페,4.63,영업 중,서울 성북구 보문로34가길 24
긴자료코 성신여대점,돈가스,4.6,영업 중,서울 성북구 보문로34가길 5
야마토텐동,일식당,4.58,영업 중,서울 성북구 고려대로28길 2 1층 야마토텐동
쵸이양식,양식,4.58,영업 중,서울 성북구 동소문로20나길 26-1 2층 쵸이양식
본크레페,크레페,4.58,영업 전,서울 성북구 동소문로20다길 30
카페 마노아,브런치,4.58,영업 중,서울 성북구 보문로34길 51
디어브레드 고대점,베이커리,4.57,영업 중,서울 성북구 개운사1길 29
계모임,닭요리,4.56,영업 전,서울 성북구 보문로30라길 5-10
미뇽,브런치,4.55,영업 중,서울 동대문구 제기로2길 4 2층
반듯한잔,요리주점,4.54,영업 전,서울 성북구 동소문로22길 80
오샬,인도음식,4.54,영업 중,서울 성북구 고려대로24길 6 문원빌딩 3층
즐거운맛 돈까스,돈가스,4.53,오늘 휴무,서울 동대문구 왕산로 15-1 2층 즐거운맛돈까스
애정마라샹궈,중식당,4.52,영업 중,서울 성북구 동소문로20나길 11
이공김밥 안암본점,김밥,4.52,오늘 휴무,서울 성북구 안암로 61-6
버거파크,햄버거,4.52,영업 중,서울 성북구 동소문로22길 56-1
라라면가,중식당,4.51,영업 중,서울 성북구 동소문로22길 57-25 1층
고른햇살,종합분식,4.51,영업 중,서울 성북구 개운사길 14
유자유김치떡볶이본점,떡볶이,4.51,영업 중,서울 성북구 고려대로24길 48 2층
백미향마라탕 고대점,중식당,4.49,영업 중,서울 동대문구 안암로 140
군자대한곱창 성신여대점,"곱창,막창,양",4.45,영업 전,서울 성북구 동소문로20다길 15 1층
나정순할매쭈꾸미,주꾸미요리,4.45,영업 중,서울 동대문구 무학로 144
서울노마드,"카페,디저트",4.45,영업 중,서울 성북구 동소문로11길 5
팔백집,돼지고기구이,4.44,영업 중,서울 성북구 보문로30길 46 1층
최고당돈가스 성신여대점,돈가스,4.44,영업 중,서울 성북구 보문로34길 77
제순식당 성신여대점,"백반,가정식",4.43,영업 중,서울 성북구 동소문로20다길 30-7
천막집,"곱창,막창,양",4.42,영업 전,서울 성북구 보문로30길 31 1층 천막집
윤휘식당,일식당,4.42,영업 중,서울 성북구 보문로34길 70 2층
육전식당 1호점,"육류,고기요리",4.4,영업 중,서울 동대문구 난계로30길 16
청량리함흥냉면,냉면,4.39,영업 중,서울 동대문구 홍릉로5길 15-3
좋은아침PASTRY 제기동역점,베이커리,4.38,영업 중,서울 동대문구 왕산로 92
태조감자국,감자탕,4.37,영업 중,서울 성북구 보문로34길 43 세학빌딩
어머니대성집,한식,4.36,영업 중,서울 동대문구 왕산로11길 4
홍능갈비집본점,"육류,고기요리",4.36,영업 중,서울 동대문구 제기로 85
한상차림밥상,한식,4.36,오늘 휴무,서울 성북구 고려대로8길 35 1층
고향집,"순대,순댓국",4.35,영업 중,서울 동대문구 왕산로37길 7
할머니냉면,냉면,4.31,영업 중,서울 동대문구 왕산로37길 51
토성옥,한식,4.25,영업 중,서울 동대문구 약령서길 28
경동함흥냉면,냉면,4.22,,서울 동대문구 고산자로38길 19
동경산책 성신여대점,일식당,0.0,영업 중,서울 성북구 보문로34길 45
고기싸롱 성신여대점,"육류,고기요리",0.0,영업 중,서울 성북구 동소문로20길 29-8
두부촌,두부요리,0.0,영업 중,서울 성북구 안암로 43
킨토토,일본식라면,0.0,오늘 휴무,서울 동대문구 제기로5길 36 1층 킨토토
