가게 이름,메뉴,평점,영업 상태,주소
명성양꼬치 신촌본점,양꼬치,4.84,영업 종료,서울 서대문구 연세로4길 33 1층 101호
조용한저녁,양식,4.83,영업 종료,서울 마포구 서강로11길 18
원조부안집 마포직영점,한식,4.82,영업 종료,서울 마포구 토정로 311
초식곳간,"다이어트,샐러드",4.77,영업 종료,서울 서대문구 이화여대5길 2 1층
이석덕생면파스타,이탈리아음식,4.74,영업 종료,서울 서대문구 명물길 16 2층 이석덕생면파스타 신촌점
쟁반집8292 신촌점,"육류,고기요리",4.73,영업 종료,서울 서대문구 연세로4길 27 1층
천진분식,중식당,4.7,영업 종료,서울 서대문구 이화여대5길 7 1층
쿠츠 : 고이짱,일식당,4.69,영업 종료,서울 마포구 백범로16길 25 1층 쿠츠
Let's pasta x You can coffee,양식,4.68,영업 종료,서울 마포구 마포대로 49 지하1층
라화쿵부 신촌점,중식당,4.68,영업 종료,서울 서대문구 연세로11길 8 1층~2층
니즈버거,햄버거,4.66,영업 종료,서울 마포구 서강로9길 24-3 1층
도토리앤다람쥐,카페,4.65,오늘 휴무,서울 마포구 와우산로 144-6 1층
하노이별 서강대점,베트남음식,4.65,영업 종료,서울 마포구 백범로 84 1층
한끼마끼,"초밥,롤",4.61,영업 종료,서울 서대문구 이화여대1길 15 1층한끼마끼
과자방,베이커리,4.61,오늘 휴무,서울 마포구 큰우물로 16 1층 과자방
피크니크 홍대점,"카페,디저트",4.58,영업 종료,서울 마포구 서강로13길 24
닥터로빈 이대점,이탈리아음식,4.55,영업 종료,서울 서대문구 이화여대길 52 이화여자대학교 ECC B4
에어플레인모드,바(BAR),4.54,영업 종료,서울 서대문구 연세로4길 36 2층
그동네떡볶이,종합분식,4.52,영업 종료,서울 마포구 와우산로27길 14 그동네떡볶이
오늘통닭 신촌직영점,"치킨,닭강정",4.49,영업 중,서울 서대문구 연세로11길 8 1층~3층
스타벅스 연대점,카페,4.49,영업 종료,서울 서대문구 연세로 35
비스트로큐슈,카레,4.48,영업 종료,서울 마포구 와우산로30길 13 102호
메이비 케이크 홍대본점,케이크전문,4.47,오늘 휴무,서울 마포구 와우산로30길 15
에이투지 카페,"카페,디저트",4.46,영업 종료,서울 서대문구 연세로4길 29
제주은희네해장국 마포용강점,해장국,4.46,영업 종료,서울 마포구 토정로 320 2층
원조 조박집 본관,"육류,고기요리",4.45,영업 종료,서울 마포구 토정로37길 3
텐동미세기,일식당,4.45,영업 종료,서울 서대문구 연세로13길 7
도꼭지,한식,4.45,영업 종료,서울 마포구 백범로10길 30 1층
가츠벤또,일식당,4.45,영업 종료,서울 마포구 백범로 13 신촌 르 메이에르타운 2차 105호
할리스 신촌점,카페,4.45,영업 종료,서울 서대문구 연세로 34
무사시,돈가스,4.44,영업 종료,서울 서대문구 신촌로 125 1층 무사시
마녀주방 신촌점,이탈리아음식,4.43,영업 종료,서울 서대문구 명물길 21 B1 마녀주방
마코토참치 마포점,생선회,4.43,영업 종료,서울 마포구 도화길 14 2층
서울큰입탕,"아귀찜,해물찜",4.43,영업 종료,서울 마포구 도화길 14-5
대전해장국,"일식튀김,꼬치",4.41,영업 종료,서울 마포구 고산7길 25
타이스토리,태국음식,4.38,영업 종료,서울 서대문구 이화여대5길 2
포옹남,베트남음식,4.38,영업 종료,서울 마포구 서강로16길 67 1층
엠브로돈까스 신촌본점,돈가스,4.36,영업 종료,서울 서대문구 명물길 26 1층엠브로돈까스 신촌본점
마포옥,"곰탕,설렁탕",4.33,영업 전,서울 마포구 토정로 312
가야가야,일본식라면,4.31,영업 종료,서울 서대문구 이화여대5길 7-3
마루심 마포점,덮밥,4.3,영업 종료,서울 마포구 토정로 316 성진빌딩
복성각,중식당,4.29,영업 종료,서울 서대문구 명물1길 24
서산꽃게,게요리,4.26,영업 종료,서울 마포구 도화길 12-3
벽제갈비 신촌점,소고기구이,4.25,영업 종료,서울 서대문구 명물길 22
마더린러 베이글,베이글,0.0,영업 종료,서울 서대문구 이화여대5길 5 지상 1층
소구장,떡볶이,0.0,,서울 마포구 백범로 29
모연 마포본점,소고기구이,0.0,오늘 휴무,서울 마포구 토정로 318 영우빌딩 1층 모연 마포본점
지알로 파스타 바,"스파게티,파스타전문",0.0,오늘 휴무,서울 마포구 독막로31길 18 1층
선셋 블러바드,카페,0.0,영업 종료,서울 서대문구 연세로 32 1-4층
낭만식탁,일식당,0.0,영업 종료,서울 서대문구 이화여대5길 6 낭만식탁
