가게 이름,메뉴,평점,영업 상태,주소
제일공간,베트남음식,4.94,오늘 휴무,서울 관악구 관악로 154 지하1층
고기굽는사람들,한식,4.85,영업 종료,서울 관악구 낙성대로 22-7
베이컨시,"스파게티,파스타전문",4.77,오늘 휴무,서울 관악구 봉천로62길 5 B1
사담,브런치,4.73,영업 종료,서울 관악구 남부순환로 1852 5층
소디스커피 샤로수길점,브런치,4.59,영업 종료,서울 관악구 남부순환로230길 48
잔잔 샤로수길점,잔잔,4.58,영업 중,서울 관악구 남부순환로230길 22 1층
함바그동 스미비,덮밥,4.57,,서울 관악구 남부순환로230길 31
모힝,이탈리아음식,4.57,영업 종료,서울 관악구 남부순환로226길 36 2층
마이무,"스테이크,립",4.57,영업 종료,서울 관악구 낙성대로 22-10 1층
옷살,돈가스,4.57,영업 종료,서울 관악구 남부순환로230길 48
로향양꼬치 1호점,양꼬치,4.54,영업 종료,서울 관악구 관악로16길 35 푸르빌 아파트
성민양꼬치 본점,햄버거,4.52,영업 종료,서울 관악구 관악로12길 108 1층
온고지신,"카페,디저트",4.51,영업 종료,서울 관악구 관악로14길 101 온고지신
빠레뜨한남 샤로수길점,양식,4.51,영업 종료,서울 관악구 남부순환로230길 40 1층 빠레뜨한남
마차이짬뽕 본사직영점,중식당,4.51,영업 종료,서울 관악구 관악로 144 1층
동경산책,일식당,4.5,영업 종료,서울 관악구 관악로14길 30 2층
문득,이탈리아음식,4.5,영업 종료,서울 관악구 관악로14길 8
온돌 서울대입구점,"육류,고기요리",4.5,영업 종료,서울 관악구 봉천로 534
덮다,한식,4.5,영업 종료,서울 관악구 남부순환로224길 31 1층
십원집,한식,4.47,영업 종료,서울 관악구 남부순환로224길 31 1층
퍼블리코타코,"멕시코,남미음식",4.47,영업 종료,서울 관악구 관악로14길 106 1층
리앙크리스피롤 서울대입구점,샌드위치,4.46,영업 종료,서울 관악구 남부순환로 1820 1056호
피자네버슬립스,피자,4.46,영업 종료,서울 관악구 봉천로 534 2층
9ounce Burger 낙성대점,햄버거,4.46,영업 종료,서울 관악구 관악로12길 108 1층
나눔국수국수 서울대본점,국수,4.46,영업 종료,서울 관악구 쑥고개로 133
분짜하노이 서울대입구점,베트남음식,4.46,영업 종료,서울 관악구 관악로 154 지하1층
쟝블랑제리,베이커리,4.44,영업 전,서울 관악구 낙성대역길 8
더멜팅팟,햄버거,4.44,오늘 휴무,서울 관악구 관악로14길 106 1층 (102호)
낙원의소바,잔잔,4.43,영업 종료,서울 관악구 남부순환로230길 22 1층
중화요리 팔공,중식당,4.43,영업 종료,서울 관악구 남부순환로 1680
돈뼈락연탄갈비,"육류,고기요리",4.43,영업 종료,서울 관악구 남부순환로 1835-26 재승빌딩
아띠85도씨베이커리,"육류,고기요리",4.43,영업 종료,서울 관악구 남부순환로 1835-26 재승빌딩
오후의 과일,카페,4.42,영업 종료,서울 관악구 관악로14길 15
시골집,한식,4.42,영업 종료,서울 관악구 낙성대로 22-7
서울테이블,브런치,4.4,오늘 휴무,서울 관악구 관악로14길 28 2층
킷사서울,일식당,4.38,영업 종료,서울 관악구 남부순환로226길 31 2층 킷사서울
강강술래 신림본동점,중식당,4.37,영업 종료,서울 관악구 남부순환로 1680
정통집 샤로수길점,중식당,4.37,영업 종료,서울 관악구 관악로 144 1층
카페 라미스콘 샤로수길점,"스파게티,파스타전문",4.36,영업 종료,서울 관악구 봉천로62길 5 B1
텐동요츠야,"육류,고기요리",4.34,오늘 휴무,서울 관악구 봉천로 534
고요서울,"카페,디저트",4.28,오늘 휴무,서울 관악구 남부순환로226길 31 2층
당나귀,포장마차,4.27,영업 종료,서울 관악구 봉천로 473-13 1층 당나귀실내포차
명품민물장어,양식,4.2,영업 종료,서울 관악구 남부순환로230길 40 1층 빠레뜨한남
안녕부산,브런치,4.19,영업 종료,서울 관악구 관악로14길 28 2층
섭지수산,브런치,0.0,오늘 휴무,서울 관악구 남부순환로 1852 5층
친목,닭요리,0.0,오늘 휴무,서울 관악구 봉천로62길 6 1층 친목
쭈앤쭈 서울대본점,한식,0.0,영업 종료,서울 관악구 관악로14길 11 1층 쭈앤쭈
정담은보쌈 신림점,햄버거,0.0,영업 종료,서울 관악구 관악로14길 106 1층 (102호)
삼백돈 돈가츠 본점,돈가스,0.0,영업 종료,서울 관악구 남부순환로230길 48
그날의 브런치,브런치,0.0,영업 종료,서울 관악구 남부순환로230길 48
