가게 이름,메뉴,평점,영업 상태,주소
비언유주얼 삼청점,양식,4.89,영업 전,서울 종로구 삼청로 96 2층
안서동야곱집 성균관대점,"곱창,막창,양",4.75,오늘 휴무,경기 수원시 장안구 서부로2105번길 26-3
도스타코스 성균관대점,"멕시코,남미음식",4.62,영업 중,서울 종로구 창경궁로29길 5 1층
포보 성균관대점,국수,4.61,영업 중,서울 종로구 성균관로 4
제이네,양식,4.59,오늘 휴무,서울 종로구 율곡로1길 74-13
이삭토스트 서울성균관대점,토스트,4.57,영업 중,서울 종로구 성균관로 18
일미리금계찜닭 수원 성균관대점,찜닭,4.57,영업 중,경기 수원시 장안구 서부로2126번길 26 1층
써브웨이 서울성균관대점,샌드위치,4.56,,서울 종로구 성균관로 25-2 성균관대학교600주년기념관 지하 1층
팔공티 성균관대점,차,4.55,,서울 종로구 성균관로5길 9 1층 1호 팔공티
성균관대 학생식당,한식,4.53,,서울 종로구 성균관로 41
화이트스노우빙수 성균관대점,빙수,4.53,영업 중,경기 수원시 장안구 서부로 2132 1층
중경마라탕 성균관대3호점,중식당,4.53,,경기 수원시 장안구 서부로2106번길 10
써브웨이 수원성균관대점,샌드위치,4.52,영업 중,경기 수원시 장안구 서부로 2066 성균관대학교 학생회관 2층
따띠삼겹 성균관대점,돼지고기구이,4.51,영업 전,서울 종로구 성균관로 3 1층
한솥도시락 성균관대앞점,"도시락,컵밥",4.49,영업 중,서울 종로구 성균관로 26
지지고 성균관대점,"도시락,컵밥",4.47,영업 중,서울 종로구 명륜3길 11-6
도미노피자 성균관대 인사캠(서울점),피자,4.46,영업 중,서울 종로구 성균관로 25-2 지하1층 600주년 기념관
도미노피자 성균관대 자과캠(수원점),피자,4.46,영업 중,경기 수원시 장안구 서부로 2066
스타벅스 수원성균관대점,카페,4.45,영업 중,경기 수원시 장안구 서부로 2131
대동집 수원성균관대점,요리주점,4.44,영업 전,경기 수원시 장안구 율전로108번길 15
역전할머니맥주 성균관대점,"맥주,호프",4.44,영업 전,경기 수원시 장안구 율전로108번길 23 역전할머니맥주
청년다방 수원성균관대점,분식,4.43,영업 중,경기 수원시 장안구 화산로233번길 35
니뽕내뽕 수원성균관대점,중식당,4.43,영업 중,경기 수원시 장안구 서부로 2119 2층
맥도날드 성균관대점,햄버거,4.42,영업 중,서울 종로구 창경궁로 241-1 김해만치과의원
띵똥와플,와플,4.41,영업 중,서울 종로구 성균관로 9-1 1층
맘스터치 성균관대점,"치킨,닭강정",4.38,,서울 종로구 성균관로 41 경영관 지하2층
맥도날드 수원 성균관대점,햄버거,4.38,24시간 영업,경기 수원시 장안구 서부로 2127
싸움의고수 성균관대점,"족발,보쌈",4.35,영업 중,서울 종로구 성균관로 17
백채김치찌개 성균관대점,"찌개,전골",4.34,영업 중,경기 수원시 장안구 서부로2105번길 21 101호
가마로강정 성균관대점,"치킨,닭강정",4.33,영업 중,경기 수원시 장안구 서부로 2129-1 태양공예가구
한우공방,소고기구이,4.32,영업 중,서울 종로구 종로9길 8 1층
맘스터치 수원성균관대점,"치킨,닭강정",4.32,영업 중,경기 수원시 장안구 서부로 2128
이디야커피 성균관대점,카페,4.31,영업 중,서울 종로구 성균관로 8
명륜진사갈비 수원성균관대점,"육류,고기요리",4.31,영업 중,경기 수원시 장안구 서부로 2129-5
설빙 수원성균관대점,빙수,4.3,영업 중,경기 수원시 장안구 서부로 2107
밥은화 성균관대점,한식,4.28,영업 중,서울 종로구 명륜길 41 1층 밥은화
동네아저씨 수원성아치점,"치킨,닭강정",4.28,영업 중,경기 수원시 장안구 서부로2123번길 29 기인빌딩
본죽 성균관대점,죽,4.26,영업 중,서울 종로구 창경궁로 247 1층 본죽성균관대점
김밥천국 성균관대점,분식,4.26,,서울 종로구 성균관로 13-1
떼루와 성균관대점,"과일,주스전문점",4.26,,서울 종로구 성균관로 19
치킨마루 수원성대점,"치킨,닭강정",4.26,오늘 휴무,경기 수원시 장안구 덕영대로 429
명륜진사갈비 서울성균관대점,"육류,고기요리",4.23,영업 중,서울 종로구 성균관로 31 유림회관 1층
노랑통닭 성균관대점,"치킨,닭강정",4.22,영업 중,경기 수원시 장안구 화산로213번길 32
아웃닭 수원성균관대점,"치킨,닭강정",4.09,,경기 수원시 장안구 화산로213번길 15
익선취향,양식,0.0,영업 중,"서울 종로구 수표로28길 17-32 1층 (브레이크타임 없음, 연중무휴)"
할리스 성균관대점,카페,0.0,영업 중,서울 종로구 성균관로 6 1~4층
24시 프리카페 성균관대점,24시프리카페,0.0,24시간 영업,서울 종로구 창경궁로29길 25 명륜빌딩
메가커피 성균관대입구점,카페,0.0,영업 중,서울 종로구 창경궁로 239 1층
치즈밥있슈 성균관대점,퓨전음식,0.0,,서울 종로구 성균관로5가길 1-6
홀릭 성균관대점,"카페,디저트",0.0,,서울 종로구 성균관로6길 2
