가게 이름,메뉴,평점,영업 상태,주소
240H,"육류,고기요리",4.95,영업 종료,서울 서대문구 연세로9길 24 1층
그리스마스,그리스음식,4.9,오늘 휴무,서울 마포구 동교로46길 42-5 지층 101호
카멜로연남,양식,4.73,영업 종료,서울 마포구 연희로1길 57 1.5층
국수나무 연세대점,국수,4.73,,강원 원주시 흥업면 연세대길 1
미쳐버린파닭 원주연세대점,"치킨,닭강정",4.64,영업 종료,강원 원주시 흥업면 세동길 15-1 현대아파트
삼양양꼬치,양꼬치,4.61,,서울 서대문구 연세로7안길 34-7
마호가니 연세대점,"카페,디저트",4.6,영업 종료,서울 서대문구 연세로 50 제4공학관 1층
컴포즈커피 신촌연세대점,카페,4.54,영업 전,서울 서대문구 연세로 29-1 1층
맘스터치 미래연세대점,"치킨,닭강정",4.54,,강원 원주시 흥업면 연세대길 1
닭꼬치연구소,"치킨,닭강정",4.53,영업 중,강원 원주시 흥업면 세동길 39
고기랑,"육류,고기요리",4.48,영업 종료,서울 서대문구 연세로5다길 6 1층
밀플랜비 연세대점,핫도그,4.47,영업 종료,서울 서대문구 연희로10길 80
티원 연세대점,중식당,4.45,영업 종료,서울 서대문구 연세로 50 연세대학교 동문회관 B1 티원 연세대점
이디야커피 연세대점,카페,4.44,영업 종료,서울 서대문구 연세로12길 10
메가커피 연세대공학원점,카페,4.44,영업 종료,서울 서대문구 연세로 50 연세대학교 공학원 지하1층 B187C호
맥도날드연세대점,햄버거,4.43,24시간 영업,서울 서대문구 연세로 33
삼성웰스토리FS연세대신촌캠퍼스(학생회관)점,푸드코트,4.42,,서울 서대문구 연세로 50-1 연세의료원
카페딕셔너리 연세대 정의관점,"카페,디저트",4.42,영업 종료,강원 원주시 흥업면 연세대길 1 정의관 2층 카페딕셔너리
도스마스 연세대점,"멕시코,남미음식",4.41,,강원 원주시 흥업면 매남동길 1
뚜레쥬르 원주연세대점,베이커리,4.41,영업 전,강원 원주시 흥업면 연세대길 1
디디치킨 연세대점,"치킨,닭강정",4.4,곧 영업 종료,서울 서대문구 연희로10길 19
샐러디 연세대점,"다이어트,샐러드",4.38,영업 종료,서울 서대문구 연세로 50 백양로 재창조 컴플렉스 지하1층
놀부화덕족발 송도연세대캠퍼스점,"족발,보쌈",4.38,곧 영업 종료,인천 연수구 송도과학로51번길 136 캐슬앤해모로 상가
고를샘 연세대학교,푸드코트,4.37,영업 종료,서울 서대문구 연세로 50 연세대학교 학생회관 1층
오니기리와이규동 연세대후문점,오니기리,4.34,영업 종료,서울 서대문구 연희로 92
써브웨이 연세대점,샌드위치,4.28,영업 종료,서울 서대문구 연세로 50-1 연세공학원
파스쿠찌신촌연대점,카페,4.24,영업 종료,서울 서대문구 연세로 20 카페파스쿠찌
준코노래타운 연세대점,요리주점,4.07,영업 중,서울 서대문구 연세로4길 7
연세대국제캠퍼스 학생식당,한식,4.0,,인천 연수구 송도과학로 85 언더우드기념도서관 지하 1층 나눌샘식당
소왔쏘,소고기구이,3.81,곧 영업 종료,서울 서대문구 연세로9길 30
시즌 연세대 미래캠점,요리주점,0.0,영업 중,강원 원주시 흥업면 세동길 30 시즌
플레이스38 연세대미래캠퍼스점,"카페,디저트",0.0,영업 종료,강원 원주시 흥업면 세동길 28
처갓집양념치킨 연세대점,"치킨,닭강정",0.0,영업 종료,강원 원주시 흥업면 매남동길 3-2
포유떡볶이연세대점,떡볶이,0.0,영업 종료,강원 원주시 흥업면 세동길 22
푸디스트 연세대미래캠퍼스현운재점,한식,0.0,,강원 원주시 흥업면 연세대길 1
푸드코트엘리시온 연세대점,푸드코트,0.0,,강원 원주시 흥업면 연세대길 1
마포차돌박이,"육류,고기요리",0.0,영업 종료,서울 서대문구 연세로9길 37 1층 101호
카페 우소명,"카페,디저트",0.0,,서울 서대문구 연희로10길 49
카페봉마르쉐,"카페,디저트",0.0,영업 종료,강원 원주시 흥업면 세동길 15-1
