가게 이름,메뉴,평점,영업 상태,주소
사랑방,감자탕,4.89,영업 종료,서울 동작구 양녕로 282-1 1층
백소정 중앙대점,일식당,4.81,영업 종료,서울 동작구 상도로47길 22
박군하누,소고기구이,4.8,영업 종료,서울 동작구 서달로15길 23 1층
작은섬,일식당,4.8,영업 종료,서울 동작구 상도로47길 22
라이베쿠헨,"다이어트,샐러드",4.79,,서울 동작구 흑석로 114 1층
리버풀펍,"육류,고기요리",4.68,영업 중,서울 동작구 흑석로 106-5 2층
펠어커피 상도점,카페,4.67,오늘 휴무,서울 동작구 흑석로 101-7
재팔이네닭발,"스파게티,파스타전문",4.66,영업 종료,서울 동작구 만양로3길 20 D동 202호
THE한강,"카페,디저트",4.66,영업 종료,서울 동작구 노량진로32길 29-6
삼목등심,"육류,고기요리",4.64,영업 종료,서울 동작구 서달로10길 9-3
흑석동 알프스,"카페,디저트",4.64,영업 종료,서울 동작구 노량진로32길 29-6
히뽀1997,"백숙,삼계탕",4.62,오늘 휴무,서울 동작구 서달로 166
프랑세즈,베이커리,4.59,영업 종료,서울 동작구 현충로 96
고기싸롱 중앙대점,"육류,고기요리",4.58,영업 종료,서울 동작구 흑석로 106-5 2층
나비루,이탈리아음식,4.58,영업 종료,"서울 동작구 현충로 124 1, 2F"
장독대,한식,4.56,영업 중,서울 동작구 흑석로 112 중앙타워빌 3층
미니자이언트,양식,4.56,영업 종료,서울 동작구 흑석로 81-6 1층
톰스키친,"스파게티,파스타전문",4.53,영업 종료,서울 동작구 만양로3길 20 D동 202호
인근주민 상도점,"치킨,닭강정",4.52,영업 중,서울 동작구 양녕로 265 1층
그랩커피&브런치,브런치,4.5,영업 종료,서울 동작구 흑석로8길 12 1층 그랩커피&브런치
커리야,와인,4.5,영업 종료,서울 동작구 상도로 341-2
피맥하우스,피자,4.49,영업 종료,서울 동작구 양녕로 265-1
은희네 온집닭떡볶이,국수,4.48,오늘 휴무,서울 동작구 서달로14나길 28
성민양꼬치 중대점,"곱창,막창,양",4.47,영업 종료,"서울 동작구 상도로 357 , 1층"
터방내,카페,4.43,영업 종료,서울 동작구 흑석로 101-7
다래식당,한식,4.42,영업 종료,서울 동작구 만양로2길 2 신성빌딩
브레드숨,베이커리,4.4,영업 종료,서울 동작구 노량진로18길 37
닥터로빈 흑석점,이탈리아음식,4.39,영업 종료,"서울 동작구 현충로 124 1, 2F"
수목식당,국수,4.38,영업 종료,서울 동작구 서달로14나길 28
엉터리생고기 흑석점,"육류,고기요리",4.38,오늘 휴무,서울 동작구 서달로14나길 10
흑석호치민,"치킨,닭강정",4.35,영업 종료,서울 동작구 양녕로 265 1층
뚜스뚜스 흑석역점,베이커리,4.33,영업 전,서울 동작구 노량진로18길 37
고봉삼계탕 중앙대점,"백숙,삼계탕",4.33,영업 종료,서울 동작구 서달로 166
상도곱창,"곱창,막창,양",4.31,영업 종료,"서울 동작구 상도로 357 , 1층"
은행골 중대점,양식,4.31,영업 종료,서울 동작구 흑석로 81-6 1층
가야로스트보쌈 상도본점,"족발,보쌈",4.3,영업 종료,서울 동작구 양녕로 286-1
물바우횟집,"족발,보쌈",4.3,영업 종료,서울 동작구 양녕로 286-1
채홍,피자,4.3,영업 종료,서울 동작구 양녕로 265-1
중대양곱창,"곱창,막창,양",4.3,영업 종료,서울 동작구 상도로41마길 1
안동장,중식당,4.22,영업 종료,서울 동작구 흑석로 105-1
갈매울 감자탕,감자탕,4.19,24시간 영업,서울 동작구 양녕로 282-1 1층
침사추이,중식당,4.14,영업 종료,서울 동작구 현충로 131 블루스톤 스포츠 2층
오시오떡볶이,떡볶이,3.77,영업 종료,서울 동작구 양녕로 278-2
제일주당,요리주점,0.0,영업 종료,서울 동작구 상도1동 665-1
잔디속에있다고상상을해,"카페,디저트",0.0,영업 종료,서울 동작구 상도로 265-30 2층
슬로우캘리 중앙대점,"다이어트,샐러드",0.0,영업 종료,서울 동작구 흑석로 114 1층
필수,떡볶이,0.0,영업 종료,서울 동작구 양녕로 278-2
바야흐로,소고기구이,0.0,영업 종료,서울 동작구 서달로15길 23 1층
999.9,베이커리,0.0,영업 종료,서울 동작구 현충로 96
Oomph,와인,0.0,영업 종료,서울 동작구 상도로 341-2
