가게 이름,메뉴,평점,영업 상태,주소
갱생,"칼국수,만두",4.87,영업 중,서울 성동구 상원10길 10 1층
봄의정원 왕십리점,샤브샤브,4.8,오늘 휴무,서울 성동구 왕십리광장로 17 3층 RE04-2호
샐피,피자,4.79,영업 종료,서울 성동구 마조로5길 3 지하1층
거무티티,"맥주,호프",4.75,영업 종료,서울 성동구 마조로5길 14
카모메 한양대점,일식당,4.73,영업 종료,서울 성동구 마조로 17 1층 4호
고기를품다 본점,종합분식,4.69,영업 종료,서울 성동구 마조로 33
팀메리,소고기구이,4.65,영업 종료,서울 동대문구 천호대로 327
누이테이블,피자,4.61,오늘 휴무,서울 성동구 마조로5길 3 지하1층
광명대창집 왕십리점,퓨전음식,4.58,오늘 휴무,서울 성동구 왕십리로14나길 10
한술,요리주점,4.56,영업 종료,서울 성동구 마장로 229
장어구이,"초밥,롤",4.56,영업 종료,서울 성동구 왕십리로14길 8 1층
진작다이닝,퓨전음식,4.55,영업 종료,서울 성동구 왕십리로14나길 10
업사이드커피 뚝섬점,한식,4.53,영업 종료,서울 성동구 고산자로14길 26
소인수서울,"곱창,막창,양",4.51,영업 종료,서울 성동구 왕십리로 136 1층
우동가조쿠,"우동,소바",4.5,영업 종료,서울 성동구 왕십리로 215-1
뺑드미 왕십리점,와인,4.49,영업 종료,서울 성동구 왕십리로16가길 4 1층
내추럴,와인,4.48,영업 종료,서울 성동구 왕십리로16가길 4 1층
스시이치바,"초밥,롤",4.48,영업 종료,서울 성동구 왕십리로14길 8 1층
키커피 컴퍼니,"맥주,호프",4.48,오늘 휴무,서울 성동구 마조로5길 12
제일곱창 본점,"곱창,막창,양",4.42,영업 종료,서울 성동구 고산자로 281
윕 성수,"우동,소바",4.42,영업 종료,서울 성동구 왕십리로 215-1
정은이네곱창,"곱창,막창,양",4.42,영업 종료,서울 성동구 고산자로 289
용용선생,"초밥,롤",4.41,영업 종료,서울 성동구 왕십리광장로 6 1층
어니언 성수,"카페,디저트",4.41,영업 종료,서울 성동구 아차산로9길 8 어니언
인더매스 마장,"카페,디저트",4.41,영업 종료,서울 성동구 마장로 270
프라이데이무브먼트,요리주점,4.39,영업 종료,서울 성동구 마장로 229
본노엘,"육류,고기요리",4.39,영업 전,서울 성동구 마조로7길 16
정통집 왕십리한양대점,돼지고기구이,4.39,영업 종료,서울 성동구 마조로1가길 11 1층 정통집
낙원스낵 왕십리 본점,"맥주,호프",4.38,영업 중,서울 성동구 마조로5길 14
반상회 성수,한식,4.36,영업 종료,서울 성동구 아차산로1길 12 1층 반상회 성수
악어떡볶이,종합분식,4.35,오늘 휴무,서울 성동구 마조로 33
훼미리손칼국수보쌈,"칼국수,만두",4.34,영업 종료,서울 성동구 왕십리로 134
평이담백뼈칼국수 성수점,"칼국수,만두",4.33,영업 종료,서울 성동구 상원10길 10 1층
갈비명가이상 답십리점,소고기구이,4.31,영업 종료,서울 동대문구 천호대로 327
행운돈가스,돈가스,4.3,영업 종료,서울 성동구 마조로1길 2
불고기브라더스 왕십리점,소고기구이,4.26,영업 종료,서울 성동구 행당동 168-1
맛나곱창,"곱창,막창,양",4.25,영업 종료,서울 성동구 고산자로 281-1
뜨아아아커피집,"카페,디저트",4.19,영업 종료,서울 성동구 고산자로12길 1-1
왕십리정부네곱창,"곱창,막창,양",4.19,오늘 휴무,서울 성동구 고산자로 287
스시도쿠 왕십리본점,"초밥,롤",0.0,영업 종료,서울 성동구 왕십리광장로 6 1층
팩피,"스파게티,파스타전문",0.0,오늘 휴무,서울 성동구 왕십리로 136 102호
매란방 왕십리본점,"스파게티,파스타전문",0.0,영업 종료,서울 성동구 왕십리로 136 102호
크로앙쥬 한양대점,"곱창,막창,양",0.0,영업 종료,서울 성동구 왕십리로 136 1층
모멘토브루어스,돈가스,0.0,영업 종료,서울 성동구 마조로1길 2
주052,한식,0.0,영업 종료,서울 성동구 고산자로14길 26
양평회관 본점,"육류,고기요리",0.0,영업 종료,서울 성동구 마조로7길 16
엘루이 피자,"맥주,호프",0.0,영업 중,서울 성동구 마조로5길 12
삼청동샤브 왕십리역점,샤브샤브,0.0,영업 종료,서울 성동구 왕십리광장로 17 3층 RE04-2호
