가게 이름,메뉴,평점,영업 상태,주소
에그써티,와인,4.86,오늘 휴무,서울 마포구 양화로18안길 7
히츠지야,일식당,4.82,영업 중,서울 마포구 독막로3길 21 1층 히츠지야
루나틱커피,돈가스,4.81,오늘 휴무,서울 마포구 동교로 126 1층 102호
풀뜯는돼지,"육류,고기요리",4.81,영업 종료,서울 마포구 동교로32길 7 1층 풀뜯는돼지
육지,"카페,디저트",4.79,영업 종료,서울 마포구 어울마당로 45
서교주담,요리주점,4.74,영업 종료,서울 마포구 어울마당로5길 46 1층 서교주담
후라토식당 상수직영점,일식당,4.71,영업 종료,서울 마포구 독막로15길 3-14
더담,"멕시코,남미음식",4.7,영업 종료,서울 마포구 와우산로21길 20-11 2층
모센즈스위트,"카페,디저트",4.64,영업 종료,서울 마포구 어울마당로 51-1 1층 102호 모센즈스위트
돈주는남자본점,돼지고기구이,4.62,영업 종료,서울 마포구 잔다리로6길 34-9
하이디라오 홍대점,중식당,4.61,영업 종료,서울 마포구 양화로 176 동교동 와이즈파크 5층
또보겠지떡볶이집 붕붕허니비점,분식,4.58,오늘 휴무,서울 마포구 양화로19길 22-25
피자네버슬립스,피자,4.58,영업 종료,서울 마포구 양화로6길 73 4층 피자네버슬립스
이치류 홍대본점,양갈비,4.56,영업 종료,서울 마포구 잔다리로3안길 44
오늘와인한잔 홍대3호점,와인,4.55,영업 중,서울 마포구 양화로18안길 7
카쿠시타,일식당,4.54,영업 종료,서울 마포구 동교로38길 33-15
동교해물,국밥,4.52,영업 종료,서울 마포구 양화로7길 44-10
미도인 홍대,일식당,4.51,영업 종료,서울 마포구 독막로3길 21 1층 히츠지야
홍대씨부엉,이자카야,4.51,영업 종료,서울 마포구 양화로8길 32-5 1층
샌드커피 논탄토 연남,카페,4.5,영업 종료,서울 마포구 동교로 212-16
디퍼 루프탑,"맥주,호프",4.5,영업 종료,서울 마포구 와우산로38길 4 2층
콜린,"카페,디저트",4.49,영업 종료,서울 마포구 어울마당로 45
카와카츠,돈가스,4.47,영업 종료,서울 마포구 동교로 126 1층 102호
산울림1992,요리주점,4.47,오늘 휴무,서울 마포구 서강로9길 60 산울림1992
신미경홍대닭갈비,닭갈비,4.47,영업 종료,서울 마포구 와우산로21길 31-10 1층
우와,일식당,4.45,영업 종료,서울 마포구 와우산로21길 21-16 2층
츄리츄리,이탈리아음식,4.44,오늘 휴무,서울 마포구 독막로15길 3-13 2층
옥동식,국밥,4.44,영업 종료,서울 마포구 양화로7길 44-10
아오이토리,요리주점,4.44,영업 종료,서울 마포구 서강로9길 60 산울림1992
하카타나카,일식당,4.44,영업 종료,서울 마포구 와우산로23길 50 2F
홍대IN파스타,"스파게티,파스타전문",4.42,영업 종료,서울 마포구 홍익로5안길 32 준빌라
피오니,"맥주,호프",4.42,영업 종료,서울 마포구 와우산로38길 4 2층
중화복춘 공원,돼지고기구이,4.41,영업 종료,서울 마포구 잔다리로6길 34-9
프리모바치오바치 홍대본점,이탈리아음식,4.39,영업 종료,서울 마포구 와우산로23길 44
감성타코 홍대점,"멕시코,남미음식",4.34,영업 종료,서울 마포구 와우산로21길 20-11 2층
천이오겹살,"육류,고기요리",4.28,영업 종료,서울 마포구 양화로7길 12
하카타분코,양갈비,4.28,영업 종료,서울 마포구 잔다리로3안길 44
부탄츄 홍대본점,닭갈비,4.24,영업 종료,서울 마포구 와우산로21길 31-10 1층
우동 카덴,떡볶이,4.23,영업 종료,서울 마포구 양화로23길 30 2층
브런치가,이탈리아음식,4.2,영업 종료,서울 마포구 독막로15길 3-13 2층
루프탑 G,바(BAR),4.12,영업 종료,서울 마포구 홍익로3길 44 호곡빌딩
합정공감,카페,0.0,영업 중,서울 마포구 동교로 212-16
불떡클럽 연남본점,떡볶이,0.0,영업 종료,서울 마포구 양화로23길 30 2층
몽주방,"스파게티,파스타전문",0.0,영업 종료,서울 마포구 홍익로5안길 32 준빌라
루프탑어반비치,바(BAR),0.0,영업 종료,서울 마포구 독막로9길 38 6층
개화기요정,이탈리아음식,0.0,,서울 마포구 와우산로23길 44
뉴오더클럽,피자,0.0,영업 종료,서울 마포구 동교로34길 3
뉴욕아파트먼트 홍대점,중식당,0.0,영업 종료,서울 마포구 양화로 176 동교동 와이즈파크 5층
오이지 연남,분식,0.0,영업 종료,서울 마포구 양화로19길 22-25
유메 홍대본점,이자카야,0.0,오늘 휴무,서울 마포구 양화로8길 32-5 1층
